phrase_type,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
AdjP,100,52,165,8,110,58,94,64,88
AdvP,365,318,374,35,474,287,122,219,243
CP,2890,2856,5375,491,4149,2883,2204,2499,2507
DPrP,26,30,184,14,91,37,33,97,22
IPrP,41,50,11,0,49,32,1,20,20
InjP,164,143,63,2,226,66,29,55,28
InrP,94,68,19,1,100,31,2,49,20
NP,1538,1520,4080,356,2376,1942,1448,1795,1316
NegP,224,325,531,22,288,286,313,220,458
PP,2601,2888,6835,604,3937,3406,2566,3145,2846
PPrP,256,232,459,24,350,203,253,169,254
PrNP,616,582,792,98,942,488,163,526,423
VP,3521,3562,5999,541,4889,3523,2391,2959,3322
